Date,Open,High,Low,Close
8/12/2015,16.61,18.53,13.88,14.27
8/13/2015,14.02,14.98,12.66,13.63
8/14/2015,13.52,13.88,11.77,11.77
8/17/2015,14.07,14.49,11.17,11.29
8/18/2015,11.68,12.52,11.23,12.14
8/19/2015,13.71,15.68,12.08,14.34
8/20/2015,16.71,21.44,15.96,20.88
8/21/2015,25.78,39.3,23.23,38.96
8/24/2015,38.96,81.94,36.5,54.61
8/25/2015,39.5,47.51,32.98,44.92
8/26/2015,38.53,45.75,35.48,37.88
8/27/2015,32.27,34.61,27.29,28.89
8/28/2015,29.51,32.65,27.11,27.11
8/31/2015,29.5,31.83,26.18,28.26
9/1/2015,33.06,34.37,29.31,31.21
9/2/2015,28.37,29.41,23.15,24.26
9/3/2015,23.75,25.06,21.55,23.99
9/4/2015,26.67,29.4,24.9,26.88
9/8/2015,25.55,27.48,24.36,24.42
9/9/2015,24.3,29.1,24.3,27.9
9/10/2015,28.62,30.24,26.11,26.11
9/11/2015,27.31,28.02,23.28,23.43
9/14/2015,26.41,27.48,25.26,25.52
9/15/2015,25.38,25.87,23.49,24.62
9/16/2015,24.82,25.23,23.12,23.75
9/17/2015,24.68,26.04,17.5,22.25
9/18/2015,23.95,24.61,21.2,21.78
9/21/2015,22.69,23.06,19.6,19.61
9/22/2015,24.21,25.69,23.12,23.45
9/23/2015,23.49,24,21.45,22.46
9/24/2015,25.03,26.83,22.63,24.22
9/25/2015,21.31,24.78,21.23,22.89
9/28/2015,26.69,31.13,25.61,30.26
9/29/2015,29.55,31.06,27.96,28.56
9/30/2015,26.24,27.37,24.48,25.7
10/1/2015,22.84,24.94,21.91,21.93
10/2/2015,24.14,24.51,19.21,19.35
10/5/2015,19.88,20.61,18.56,19.02
10/6/2015,18.82,19.8,17.74,18.19
10/7/2015,17.19,18.54,16.32,16.39
10/8/2015,16.96,17.49,15.06,15.47
10/9/2015,14.89,16.58,14.2,14.27
10/12/2015,16.17,16.43,14.51,14.73
10/13/2015,15.99,16.66,14.48,16.53
10/14/2015,16.45,18.19,15.93,16.9
10/15/2015,16.72,17.22,13.84,13.85
10/16/2015,13.7,14.55,12.86,12.89
10/19/2015,14.88,15.26,13.64,13.87
10/20/2015,14.79,15.68,13.94,15.01
10/21/2015,14.58,16.7,14.18,16.67
10/22/2015,15.19,15.72,13.1,13.1
10/23/2015,13.57,14.57,12.79,13.15
10/26/2015,14.61,15.64,14.53,15.2
10/27/2015,16.28,16.75,15.39,16.31
10/28/2015,16.12,21.12,14.02,14.57
10/29/2015,15.26,16.15,14.26,14.54
10/30/2015,14.55,15.28,13.31,14.31
11/2/2015,15.38,15.38,12.94,13.68
11/3/2015,13.92,14.08,12.84,13.81
11/4/2015,12.96,15.75,12.87,14.76
11/5/2015,14.81,16.33,14.2,14.22
11/6/2015,13.59,15.4,12.54,12.6
11/9/2015,14.88,17.87,14.75,16.39
11/10/2015,16.74,17.2,14.1,14.29
11/11/2015,14.16,15.68,14.08,15.6
11/12/2015,16.77,18.39,15.87,18.39
11/13/2015,18.77,21.34,18.2,20.43
11/16/2015,21.11,21.2,16.29,16.81
11/17/2015,16.5,18.32,15.32,17.02
11/18/2015,16.56,16.58,13.33,13.33
11/19/2015,13.37,14.28,13.16,13.62
11/20/2015,12.98,13.44,12.4,12.4
11/23/2015,14.83,15.1,13.45,14.07
11/24/2015,16.06,17.06,14.39,14.54
11/25/2015,14.49,15.05,14.14,14.35
11/27/2015,14.75,15.8,13.94,14.21
11/30/2015,15.19,17.37,15.15,16.6
12/1/2015,15.57,16.78,13.95,13.99
12/2/2015,14.54,17.1,13.96,15.97
12/3/2015,16.01,20.57,15.97,18.71
12/4/2015,17.42,17.81,13.64,13.65
12/7/2015,15.94,18.07,15.88,16
12/8/2015,19.02,20.09,17.52,18.81
12/9/2015,19.77,22.99,18.08,22.07
12/10/2015,21.48,22.08,19.16,20.42
12/11/2015,23.34,29.88,22.94,28
